samples	divergence
Sample_10	124.092982583377
Sample_18	124.046265180944
Sample_3A	122.543247491676
Sample_12	127.874499820639
Sample_26	124.379249854658
Sample_6A	125.534260029995
Sample_11	131.761126157598
Sample_20	124.809119885237
Sample_9A	128.091156369875
Sample_10R1	130.719381520897
Sample_21	121.051335662661
Sample_30	132.17846615373
Sample_13R1	124.740227006331
Sample_23	133.425899471322
Sample_32	142.114805562666
Sample_13	122.443302339326
Sample_33	124.219358749433
Sample_18A	124.572888308909
Sample_19A	123.192611998704
Sample_20A	123.427882993349
Sample_21A	121.940618864669
Sample_22B	142.069026830095
Sample_23A	126.525571577434
Sample_24A	142.118482893408
Sample_25A	125.478838939169
Sample_26A	123.672692441983
Sample_27A	123.980041037171
Sample_28A	120.13903065976
Sample_29A	126.698924723019
Sample_30A	128.041499181965
Sample_15	126.582229671191
Sample_32R2	125.106369878239
Sample_33A	129.286698981965
Sample_16	125.355718052203
Sample_35R1	124.194098081894
Sample_36A	123.506888474547
Sample_37A	124.863151545969
Sample_38A	122.325343378207
Sample_39A	124.928743930701
Sample_40A	140.707808474318
Sample_41A	140.534311507201
Sample_42A	124.428415088768
Sample_43A	134.154577842361
Sample_44A	138.244934453358
Sample_45A	134.727988623637
Sample_46A	138.342167297841
Sample_d11	139.134611885576
Sample_d12	140.583641881618
Sample_49A	119.85446194649
Sample_50A	124.346140343662
Sample_51A	123.403103495551
Sample_52A	122.007119060324
Sample_53A	124.351452166227
Sample_54A	124.254902930151
Sample_55B	125.697872881114
Sample_56A	128.999549767187
Sample_57A	123.763327446774
Sample_58A	129.668210885194
Sample_59A	125.492856272824
Sample_60A	126.459269791189
Sample_61A	139.350314234449
Sample_62A	140.714751092715
Sample_63A	140.226626729284
Sample_64A	136.46046836559
Sample_65A	132.927037463688
Sample_66A	136.0244800589
Sample_67A	140.004579035329
Sample_68A	144.534154317516
Sample_69A	140.811513373613
Sample_70A	124.451301663766
Sample_71A	123.353603428746
Sample_72A	120.639570437362
Sample_73A	129.758269786712
Sample_74A	130.274455718907
Sample_76A	126.855905229134
Sample_75A	142.954259805345
Sample_77A	139.79243994196
Sample_78A	141.298147293485
Sample_79A	139.817049586054
Sample_80A	138.917835174829
Sample_81A	137.923630131441
Sample_82A	140.513763284646
Sample_83B	140.061776942244
Sample_84A	142.516375559343
Sample_85B	140.253913360031
Sample_86A	139.163251822251
Sample_87A	137.003522254085
Sample_88A	133.101231782992
Sample_89B	135.617962320132
Sample_90A	135.53551406768
Sample_91A	138.194971742948
Sample_92A	138.262242033412
Sample_93A	141.402578897826
Sample_94B	140.412576506552
Sample_95A	140.238790704068
Sample_96A	142.547298014763
Sample_97A	129.406067462506
Sample_98A	124.924750030352
Sample_99A	128.713541395663
Sample_100A	123.546284016958
Sample_101A	125.195289153922
Sample_102A	124.931387334746
Sample_103A	131.915140155128
Sample_104B	127.162197102065
Sample_105B	130.964400578726
Sample_106A	139.605382984951
Sample_107B	138.640486093339
Sample_108A	143.410609848682
Sample_109A	139.876921894467
Sample_110A	141.130421397204
Sample_111B	141.599239417714
