orig.ident	nCount_RNA	nFeature_RNA	RNA_snn_res.0.5	seurat_clusters	celltype	Size_Factor	Pseudotime	State	sample
Sample	853315.185423595	75652	2	2	2	1.04776191359321	1.64406244332436	5	Sample_10
Sample	840790.940561632	76103	2	2	2	1.03230595798731	2.48337306485863	5	Sample_18
Sample	835408.841590709	76548	2	2	2	1.02571889998422	2.72024592248621	5	Sample_3A
Sample	830399.735910639	72480	1	1	1	1.01944322570213	49.6337627335974	1	Sample_12
Sample	818017.534927281	74901	1	1	1	1.00405373144379	50.9797529859726	1	Sample_26
Sample	817197.22197363	70715	1	1	1	1.00315527248597	42.9345820117939	1	Sample_6A
Sample	851889.615957589	67329	1	1	1	1.04581238073131	57.0603933259296	1	Sample_11
Sample	829910.545813483	72639	1	1	1	1.01883768897987	47.7015902368273	1	Sample_20
Sample	834707.839029232	72053	1	1	1	1.02463090310927	59.8490748696093	1	Sample_9A
Sample	811220.404278005	73133	1	1	1	0.99582360123702	64.1128861914209	1	Sample_10R1
Sample	834902.132567976	74498	1	1	1	1.02518474767231	42.9189837234898	1	Sample_21
Sample	854240.68154499	71502	1	1	1	1.04846714233681	77.9387237072937	1	Sample_30
Sample	826486.174628831	74737	1	1	1	1.01457554737586	69.7551673155864	1	Sample_13R1
Sample	839927.205340099	71326	0	0	0	1.03139519137253	92.8140266298008	1	Sample_23
Sample	873144.202682952	64884	0	0	0	1.07155999908418	94.4128940651849	1	Sample_32
Sample	844915.656720852	76692	2	2	2	1.0373951741388	2.48797435380927	5	Sample_13
Sample	849415.915158307	75629	2	2	2	1.04282900468507	1.56693367499182	5	Sample_33
Sample	841780.472091254	75638	2	2	2	1.033411185582	2.64098919856253	5	Sample_18A
Sample	836103.529794367	71948	1	1	1	1.02637120580291	3.13459231741678	5	Sample_19A
Sample	845007.42382782	75406	2	2	2	1.03729671288314	1.67530305924445	5	Sample_20A
Sample	832111.15255304	74498	2	2	2	1.02147029680285	2.56461818544817	5	Sample_21A
Sample	819337.594259513	63142	0	0	0	1.00556757324944	98.9353658842509	1	Sample_22B
Sample	857591.811283975	70910	1	1	1	1.05283143749357	52.461832367031	1	Sample_23A
