groups	cs_A	cs_B	cs_D
OG0004884	TraesCS1A02G001800.1	TraesCS1B02G000600.1	TraesCS1D02G003700.1
OG0004885	TraesCS1A02G001900.10	TraesCS1B02G000800.4	TraesCS1D02G003900.3
OG0004886	TraesCS1A02G002100.1	TraesCS1B02G001000.2	TraesCS1D02G004100.3
OG0004887	TraesCS1A02G002200.1	TraesCS1B02G001100.1	TraesCS1D02G004200.2
OG0004888	TraesCS1A02G002300.1	TraesCS1B02G001600.1	TraesCS1D02G004400.1
OG0004889	TraesCS1A02G002500.1	TraesCS1B02G001800.2	TraesCS1D02G004700.2
OG0004890	TraesCS1A02G002700.1	TraesCS1B02G002000.1	TraesCS1D02G004900.4
OG0004891	TraesCS1A02G004200.1	TraesCS1B02G005600.1	TraesCS1D02G003300.1
OG0004892	TraesCS1A02G005400.1	TraesCS1B02G007600.1	TraesCS1D02G002100.1
OG0004893	TraesCS1A02G005500.1	TraesCS1B02G007700.1	TraesCS1D02G002200.1
OG0004894	TraesCS1A02G005600.3	TraesCS1B02G007800.2	TraesCS1D02G002300.2
OG0004895	TraesCS1A02G005700.1	TraesCS1B02G007900.1	TraesCS1D02G002400.3
OG0004896	TraesCS1A02G005800.2	TraesCS1B02G008000.1	TraesCS1D02G002500.1
OG0004897	TraesCS1A02G005900.1	TraesCS1B02G008200.1	TraesCS1D02G002600.1
OG0004898	TraesCS1A02G007500.1	TraesCS1B02G011100.1	TraesCS1D02G000800.2
OG0004899	TraesCS1A02G007600.1	TraesCS1B02G011200.1	TraesCS1D02G000900.1
OG0004900	TraesCS1A02G007700.1	TraesCS1B02G011300.1	TraesCS1D02G000700.1
OG0004901	TraesCS1A02G007900.1	TraesCS1B02G011500.1	TraesCS1D02G000400.1
OG0004902	TraesCS1A02G008353.1	TraesCS1B02G014400.1	TraesCS1D02G008200.1
OG0004903	TraesCS1A02G009000.3	TraesCS1B02G013900.1	TraesCS1D02G007800.3
OG0004904	TraesCS1A02G011200.1	TraesCS1B02G037900.2	TraesCS1D02G010000.2
OG0004905	TraesCS1A02G011400.1	TraesCS1B02G016900.1	TraesCS1D02G010600.1
OG0004906	TraesCS1A02G011500.1	TraesCS1B02G414600.1	TraesCS1D02G010500.1
OG0004907	TraesCS1A02G012400.1	TraesCS7B02G243900.1	TraesCS1D02G012200.1
OG0004908	TraesCS1A02G012500.4	TraesCS1B02G017200.2	TraesCS1D02G010700.1
OG0004909	TraesCS1A02G012600.1	TraesCS1B02G017300.1	TraesCS1D02G010800.1
OG0004910	TraesCS1A02G013200.1	TraesCS1B02G012300.1	TraesCS1D02G011300.1
OG0004911	TraesCS1A02G013400.1	TraesCS1B02G017400.1	TraesCS1D02G011500.1
OG0004912	TraesCS1A02G013700.1	TraesCS1B02G017900.1	TraesCS1D02G011600.1
OG0004913	TraesCS1A02G014800.1	TraesCS1B02G017700.1	TraesCS1D02G012600.1
OG0004914	TraesCS1A02G015200.2	TraesCS1B02G019200.1	TraesCS1D02G013100.3
OG0004915	TraesCS1A02G015300.1	TraesCS1B02G019100.2	TraesCS1D02G013200.1
OG0004916	TraesCS1A02G015400.1	TraesCS1B02G018900.1	TraesCS1D02G013300.1
OG0004917	TraesCS1A02G017000.1	TraesCS1B02G021200.1	TraesCS1D02G016600.2
OG0004918	TraesCS1A02G018700.1	TraesCS1B02G022500.1	TraesCS1D02G018100.1
OG0004919	TraesCS1A02G018900.1	TraesCS1B02G022700.1	TraesCS1D02G018200.1
OG0004920	TraesCS1A02G019200.1	TraesCS1B02G022900.1	TraesCS1D02G018400.1
OG0004921	TraesCS1A02G020300.1	TraesCS1B02G024300.1	TraesCS1D02G019800.1
OG0004922	TraesCS1A02G020400.1	TraesCS1B02G024400.1	TraesCS1D02G019900.1
OG0004923	TraesCS1A02G020600.1	TraesCS1B02G024600.1	TraesCS1D02G020100.1
OG0004924	TraesCS1A02G020700.1	TraesCS1B02G024700.1	TraesCS1D02G020200.1
OG0004926	TraesCS1A02G021100.1	TraesCS1B02G024900.1	TraesCS1D02G020700.1
