OG0008775	FCP1
OG0001893	OsERF83
OG0015057	OsVQ13
OG0011057	SIDP361
OG0005812	OsSRO1a
OG0011058	OsLOL2
OG0005895	OSIPA
OG0005813	JMJ706
OG0005855	OsTMT1
OG0001581	WSL3
OG0026497	OsEBS
OG0026415	XBOS252
OG0023848	OsPAGN1
OG0004423	ZFP15
OG0001856	TOM1
OG0026457	OsKMD2
OG0023575	OsXRCC1
OG0005542	OsDUF810.7
OG0004739	UbL404
OG0004191	OsCDR1
OG0026499	OsMPH1
OG0005543	OsCYN
OG0001858	OsCPK25,OsCPK26
OG0023577	OsENOD93-1
OG0004193	OsENOD93-1
OG0001859	OsARAF3
OG0023263	OsAFB6
OG0016941	OsAM1
OG0012941	TCD3
OG0004427	MLO
OG0026105	OASA1
OG0008113	OsGLR3.4
OG0005546	OsiICK6
OG0001231	OsGapC2,OsGAPC3
OG0026106	OsSPX4
OG0012984	OsALD1
OG0005506	DCA1
OG0005273	OsNHX2
OG0001588	GF14b,OsGF14e
OG0016944	OsSh1
OG0012671	OsLUX
OG0016987	YSA
OG0005509	DEL1
OG0016947	OsMBD707
OG0012673	OsZIP1
OG0012632	Asr6
OG0004159	RGAe,Xa1
OG0016633	OsRRMh
OG0012907	OsEDR1
OG0016634	RF2a
OG0013793	WDL1
OG0012675	OsCCS52B
OG0012634	Asr6
OG0005238	SRS3
OG0005239	APIP6
OG0016321	OsbZIP72
OG0013754	OsRecQ1
OG0012677	RTBP1
OG0016322	LP1
OG0013482	OsBC1L1
OG0012364	OsSSI2
OG0016050	OsCNX6
OG0013442	OsERdj3A
OG0013758	TIPS-11-9
OG0012010	OOsRacGEF1,OsRacGEF1
OG0016326	OsHsf23
OG0016327	OsABA8ox2,OsABA8ox3
OG0013446	OsF2KP2
OG0002850	OsLOGL5
OG0013406	OsTOP6A3
OG0002851	HIS1
OG0020844	Fd1
OG0016097	YLC1
OG0013489	OsPEX11
OG0009775	OsWOX4
OG0020845	Fd1
OG0020530	BSR2
OG0009461	DTD
OG0020805	OsMADS26
OG0016058	ONI3
OG0013135	OsFRDL1
OG0009777	SHAT1
OG0024532	OsNAC78
OG0020532	OsSHI1
OG0002896	Os6PGDH
OG0002540	OsHKT1;4
OG0024848	OsNLA1
OG0009779	OsHIP1
