OG0000023	Sr27
OG0000045	Pm3
OG0000089	Stb16q
OG0000097	Sr33
OG0000180	YrAS2388R
OG0000187	Sr21
OG0000244	mDES1
OG0000335	Sr45
OG0000354	Sm1
OG0000472	Stb6
OG0000522	Lr10
OG0000564	TaSuSy
OG0000642	TaPHT1-9
OG0000705	LGP1
OG0000795	TaSuSy5
OG0000892	Lpx
OG0001293	Csl
OG0001359	TaHB
OG0001392	PI1
OG0001443	TaASN2
OG0001601	Rht12
OG0001810	TaDWF4
OG0001945	LrZH22
OG0002082	TaBot1
OG0002112	AP3-1
OG0002145	TaPIN1
OG0002189	TaAVP1
OG0002205	SuSr
OG0002501	Gpc
OG0002656	TaBtr1
OG0002791	SEP1-2
OG0002942	TaMKK3
OG0002992	YrU1
OG0003158	SEP1-4
OG0003360	TaPGS1
OG0003704	PPO
OG0003804	TaPHS1
OG0003966	TaZIP4
OG0004048	TaSRL1
OG0004128	Lpx-3
OG0004463	TaDIR
OG0004473	TaSPR
OG0005058	TaTOE
OG0005074	Yr15
OG0005413	AG1
OG0005789	TaPYL1
OG0006178	TaGID1
OG0006520	DUO
OG0006645	TaFT3
OG0006718	TaSS4
OG0007030	TaRec8
OG0007114	TaELF3
OG0007145	TaHXK3
OG0007386	TmNAS3
OG0007440	TaVSR1
OG0007505	trs1
OG0007810	FUL3
OG0007818	TaCYP78A5
OG0007820	GW7
OG0007823	TaAFP
OG0008319	FUL2
OG0008537	TaSBEIIa
OG0008664	TaSBEIIb
OG0008823	TaVIT1
OG0008836	TaNAC100
OG0009591	PPO
OG0009904	TaARF12
OG0009935	TaSTT3b
OG0010099	Fhb1
OG0010255	TaNAC019
OG0010469	TaGI
OG0010476	Ph2
OG0010601	FT
OG0011262	TaFUSCA3
OG0011692	AG2
OG0011786	TaERF3
OG0011833	TaGAMYB3
OG0011927	TaLAX1
OG0012038	TaWOX5
OG0012397	TaMADS2
OG0012622	TaSINA
OG0012671	WPCL1
OG0012692	TdDof
OG0012742	SVP3
OG0013129	Lr67
OG0013404	TaPRR73
OG0013412	TaMPK3
OG0013656	TaNHX1
OG0013937	TaFROG
OG0014031	TaNAC071
OG0014346	Rht
OG0014349	TaTB1
OG0014407	BGC1
OG0014446	TaGRP2
OG0014644	TaIRI9
OG0014870	TaMOR
OG0014880	TaGBSSI
OG0015041	Gsp-1
OG0015145	Pm2
OG0015150	TaARF25
OG0015378	TaWOX2
OG0015793	LYS3
OG0016124	TaVIT2
OG0016192	TaDEP1
OG0016199	TaQsd1
OG0016572	TaSEP3
OG0016676	TaRF2b
OG0016697	CBF2
OG0016979	TaPIL1
OG0017023	TaHMA3
OG0017068	PhyC
OG0017071	TaVRN1
OG0017388	TaIPT8
OG0017458	Q
OG0017521	TaTMT3B
OG0017554	TaMlo
OG0017648	WSOC1
OG0017744	TaVRN2
OG0017748	ALI-1
OG0017818	Yr15
OG0018182	TaPsIPK1
OG0018284	TaCBF1
OG0018392	TaBT1
OG0018466	TaGW2
OG0018527	TaCRY1
OG0018630	Rht24
OG0018666	TaPRR1
OG0018881	TaAGL6
OG0019083	TaHD1
OG0019238	SVP1
OG0019736	TaVRN3
OG0019879	TaNAC77
OG0019984	TaVRT-2
OG0020174	TaHd1
OG0020462	TaSEP3
OG0020484	TaOTUB1
OG0020539	TaMYB4
OG0020611	TaARE1
OG0020626	AP3-1
OG0020886	TaIAA21
OG0021107	TaMBF1c
OG0021361	TaD27
OG0021382	TaZIM
OG0021570	WAPO1
OG0021628	TaCol
OG0021636	LN883743
OG0021707	Pm5e
OG0021777	TaSBEI
OG0021800	Psy1
OG0021928	LoxA
OG0022148	TaHAG1
OG0022452	Rht8
OG0022476	PPD
OG0022506	TaNHX2
OG0022999	Ms5
OG0023568	Lr34
OG0024378	TaSHN1
OG0024517	KAT
OG0024721	TaTLP1
OG0024968	Rg
OG0024994	Pm24
OG0025174	DA1
OG0025335	GNI
OG0025666	Tamyb10
OG0026348	TaGW2L
